freq	lemma	category
33	sidewalk	place
33	purr	sound
33	stream	nature
33	baker	other
33	switch	action
33	dead	property
33	traditional	concept
33	item	object
33	clearly	manner
33	shakespeare	name
33	civilisation	concept
33	abstract	property
33	shoot	action
33	roman	culture
32	bitter	property
32	lava	nature
32	sneeze	action
32	hay	plant
32	playroom	place
32	yogurt	food
32	timer	tool
32	chase	action
32	pedal	object
32	crash	action
32	wrap	action
32	contemporary	property
32	scene	concept
32	integrate	action
32	twice	quantity
31	camp	place
31	ripe	property
31	bead	toy
31	peaceful	feeling
31	sore	feeling
31	ham	food
31	ladder	tool
31	pipe	object
31	pumpkin	food
31	spicy	property
31	bulb	object
31	barber	other
31	anyway	manner
30	beauty	property
30	beaver	animal
30	builder	other
30	useful	property
30	sparkle	property
30	helpful	property
30	zero	other
30	whistle	sound
30	court	place
30	closely	manner
30	hers	other
30	amount	quantity
30	standard	concept
30	chapter	concept
30	chance	concept
29	palace	place
29	stack	object
29	attic	place
29	toothbrush	tool
29	nod	action
29	hurry	action
29	craft	action
29	throat	body
29	gandhi	name
29	childhood	concept
29	rex	name
29	gun	object
28	jam	food
28	journey	action
28	muddy	property
28	puppet	toy
28	pump	tool
28	curve	property
28	guest	family
28	crawl	action
28	belt	clothing
28	clue	other
28	shield	tool
28	flute	tool
28	soda	food
28	berry	food
28	curly	property
28	blade	object
28	buzz	sound
28	log	nature
28	nervous	feeling
28	plug	object
28	yours	other
28	sunni	religion
28	monk	job
28	happily	manner
28	depression	feeling
27	giant	other
27	collect	action
27	cage	object
27	backpack	object
27	astronaut	other
27	hose	tool
27	windy	weather
27	racket	tool
27	sum	other
27	mask	object
27	boil	action
27	mummy	family
27	discussion	concept
27	height	property
26	sip	action
26	root	plant
26	plus	other
26	mop	tool
26	parade	other
26	hundred	other
26	belly	body
26	patient	property
26	mostly	quantity
26	dimension	concept
26	collection	concept
26	faith	concept
25	cub	animal
25	postcard	object
25	snap	action
25	pebble	nature
25	heal	action
25	mama	family
25	runny	property
25	costume	clothing
25	squirrel	animal
25	surfboard	tool
25	skip	action
25	lucky	feeling
25	length	property
25	ana	name
25	respect	concept
25	marie	name
24	scratch	action
24	borrow	action
24	england	place
24	sandy	property
24	playdate	other
24	cucumber	food
24	single	property
24	violin	object
24	mango	food
24	juicy	property
24	grade	concept
24	against	time
24	slave	concept
24	thermometer	tool
24	cause	concept
24	maria	name
23	beak	body
23	trumpet	object
23	italy	place
23	hiss	sound
23	loop	object
23	ladybug	animal
23	dice	toy
23	chimney	object
23	leather	property
23	seal	animal
23	superhero	other
23	chin	body
23	panda	animal
23	fuzzy	property
23	army	concept
23	curie	name
23	mona	name
23	core	concept
23	symbol	concept
23	ours	quantity
22	pat	action
22	ink	object
22	freezer	object
22	airplane	object
22	cherry	food
22	curtain	object
22	equal	property
22	shoulder	body
22	slippery	property
22	clink	sound
22	diary	object
22	third	other
22	musician	other
22	pre	other
22	ding	sound
22	yay	sound
22	freedom	concept
22	forth	time
21	watermelon	food
21	rusty	property
21	crane	tool
21	balance	action
21	mad	feeling
21	refrigerator	object
21	squeeze	action
21	clip	object
21	loose	property
21	discover	action
21	princess	other
21	fairness	concept
21	mozart	name
21	source	concept
21	mary	name
21	hola	sound
20	melody	sound
20	pip	plant
20	wheelchair	object
20	lullaby	sound
20	cloudy	weather
20	visitor	other
20	spray	action
20	bathtub	object
20	backyard	place
20	cocoa	food
20	rectangle	property
20	celebration	other
20	thud	sound
20	sweater	clothing
20	spell	action
20	tickle	action
20	composer	job
20	ottoman	culture
20	among	time
20	jack	name
20	clinic	place
20	transmit	action
19	caterpillar	animal
19	trouble	feeling
19	twinkle	action
19	sunlight	nature
19	suit	clothing
19	treehouse	place
19	pin	object
19	shore	nature
19	polite	property
19	sheet	object
19	divide	action
19	erase	action
19	thirty	other
19	sleeve	clothing
19	grab	action
19	zebra	animal
19	crust	food
19	dip	action
19	chirp	sound
19	surface	nature
19	seller	job
19	periodic	property
19	extra	quantity
19	anywhere	quantity
19	mr	other
19	loudly	manner
19	member	concept
19	galileo	name
19	jake	name
18	lip	body
18	decoration	object
18	rose	plant
18	mane	body
18	flu	feeling
18	chore	action
18	knob	object
18	tame	property
18	erupt	action
18	shy	feeling
18	claw	body
18	marker	tool
18	sort	action
18	penny	object
18	shiver	action
18	sweetie	feeling
18	moo	sound
18	badly	manner
18	woof	sound
18	launch	action
18	none	quantity
18	remind	action
18	teaching	action
18	layer	concept
17	pilot	other
17	fizz	sound
17	straw	object
17	beetle	animal
17	ray	nature
17	medal	object
17	flavor	property
17	marble	toy
17	thump	sound
17	bun	food
17	creature	animal
17	speaker	object
17	lace	clothing
17	rust	property
17	robe	clothing
17	uniform	clothing
17	mount	action
17	yawn	action
17	golf	action
17	lollipop	food
17	creak	sound
17	hen	animal
17	trace	action
17	label	object
17	advice	other
17	waterfall	nature
17	level	property
17	whoosh	sound
17	intellectual	property
17	nobody	quantity
17	industrial	property
17	episode	concept
16	gran	family
16	scratchy	property
16	snowball	toy
16	clam	animal
16	comfortable	property
16	fountain	nature
16	record	object
16	bouncy	property
16	customer	other
16	autumn	nature
16	hood	clothing
16	tub	object
16	yucky	feeling
16	super	property
16	rattle	toy
16	likely	quantity
16	guy	other
16	normal	property
16	factor	concept
16	differently	manner
16	judge	job
16	inventor	job
16	ahead	time
15	slimy	property
15	mushroom	plant
15	peck	action
15	crunch	sound
15	comb	tool
15	hut	place
15	damp	property
15	pointer	object
15	weed	plant
15	lunchtime	other
15	playhouse	place
15	scooter	toy
15	thumb	body
15	theater	place
15	underground	place
15	fog	weather
15	sew	action
15	fizzy	property
15	onion	food
15	swimmer	other
15	chick	animal
15	remove	action
15	fairly	manner
15	aloud	manner
15	belong	action
15	focus	action
15	app	object
15	sideways	manner
15	separate	action
15	especially	manner
15	incense	object
15	hercules	name
15	invisible	property
15	martin	name
14	shopkeeper	other
14	lobster	animal
14	beam	object
14	fetch	action
14	syrup	food
14	highway	place
14	fin	body
14	drip	action
14	swimsuit	clothing
14	whisker	body
14	peak	nature
14	leash	tool
14	wavy	property
14	slip	action
14	frown	feeling
14	lump	property
14	crib	object
14	lamb	animal
14	dome	place
14	pole	object
14	fry	action
14	signal	object
14	hamster	animal
14	wiggle	action
14	fabric	object
14	cluck	sound
14	wallet	object
14	cast	action
14	hunter	job
14	hooray	sound
14	turbine	object
14	buddhist	religion
14	deal	action
14	figure	object
14	subtract	action
14	herself	other
14	shaman	job
14	priest	job
14	magnify	action
13	zip	action
13	pear	food
13	flap	action
13	bare	property
13	mold	object
13	sniff	action
13	chat	action
13	folder	object
13	heater	object
13	icy	property
13	zipper	clothing
13	scare	feeling
13	windmill	object
13	disappear	action
13	emperor	other
13	puff	action
13	peach	food
13	broccoli	food
13	tin	object
13	italian	culture
13	alike	quantity
13	egyptian	culture
13	stethoscope	tool
13	region	place
13	avoid	action
13	tomb	object
13	himself	quantity
13	kaaba	religion
13	battle	concept
13	ann	name
12	stiff	property
12	crumbly	property
12	narrow	property
12	trust	feeling
12	crumb	food
12	mailman	other
12	gorilla	animal
12	torch	object
12	grill	tool
12	vinegar	food
12	knot	object
12	password	other
12	silent	property
12	blink	action
12	swish	sound
12	dim	property
12	daisy	plant
12	toad	animal
12	inhaler	tool
12	tricky	property
12	arrow	object
12	mailbox	object
12	pajama	clothing
12	danger	feeling
12	dial	object
12	campfire	nature
12	private	concept
12	role	concept
12	keeper	job
12	decision	concept
12	john	name
12	serious	property
12	fully	manner
12	operation	action
12	newton	name
12	skull	body
11	llama	animal
11	pal	family
11	cheetah	animal
11	stinky	property
11	smoky	property
11	chef	other
11	sushi	food
11	throne	object
11	steady	property
11	warmth	feeling
11	bolt	object
11	shampoo	object
11	ache	feeling
11	stretchy	property
11	flush	action
11	jumper	clothing
11	flip	action
11	pit	nature
11	clang	sound
11	soapy	property
11	palm	body
11	fireplace	object
11	spaceship	object
11	raincoat	clothing
11	pinch	action
11	pad	object
11	drill	tool
11	explorer	other
11	rumble	sound
11	cardboard	object
11	crackle	sound
11	whiteboard	object
11	moss	plant
11	bunch	other
11	width	property
11	continue	action
11	sarah	name
11	sue	action
11	exactly	manner
11	degree	concept
11	learner	concept
11	account	concept
11	creation	concept
11	athlete	job
11	pharaoh	job
10	classmate	other
10	harbor	place
10	hike	action
10	scrub	action
10	sixty	other
10	pyjama	clothing
10	winner	other
10	spear	tool
10	keyboard	object
10	couch	object
10	stripe	property
10	lunchbox	object
10	upset	feeling
10	seesaw	toy
10	bloom	action
10	howl	sound
10	jupiter	nature
10	stool	object
10	thief	other
10	siren	sound
10	olive	food
10	bookshelf	object
10	trail	nature
10	odd	property
10	burger	food
10	cushion	object
10	steep	property
10	mitten	clothing
10	squeak	sound
10	postman	other
10	sweep	action
10	carve	action
10	sweat	body
10	cactus	plant
10	laundry	action
10	recycle	action
10	choo	sound
10	invention	concept
10	deeply	manner
10	politics	concept
10	rob	action
10	toward	time
10	illness	concept
10	term	concept
10	manage	action
10	digit	concept
10	mayor	job
10	archaeologist	job
10	appear	action
10	condor	animal
10	growth	concept
10	since	time
10	brand	concept
10	mice	animal
10	value	concept
10	somewhere	place
10	boo	sound
0	vine	plant
0	iris	plant
0	eyelash	body
0	knuckle	body
0	hip	body
0	nostril	body
0	cliff	nature
0	creek	nature
0	meadow	nature
0	thunderstorm	weather
0	blizzard	weather
0	hairbrush	object
0	broom	object
0	mug	object
0	toaster	object
0	oatmeal	food
0	dock	place
0	nursery	place
0	nephew	family
0	niece	family
0	stepmother	family
0	lonely	feeling
0	grateful	feeling
0	sparkly	property
0	vest	clothing
0	sandal	clothing
0	tongs	tool
0	strainer	tool
0	ladle	tool
0	slingshot	toy
0	politely	manner
0	dozen	quantity
0	dawn	time
0	dusk	time
0	midnight	time
0	plumber	job
0	carpenter	job
0	courage	concept
0	patience	concept
0	lantern	culture
0	altar	religion
0	chant	religion
0	snore	other
0	ankle	body
0	applause	sound
0	arch	object
0	badge	object
0	bald	property
0	bamboo	plant
0	bib	clothing
0	bingo	game
0	bison	animal
0	bold	property
0	booth	place
0	boss	job
0	brake	tool
0	cabin	place
0	cape	clothing
0	cargo	object
0	catalog	object
0	cellar	place
0	coast	nature
0	coil	object
0	cone	object
0	cookbook	object
0	cop	job
0	coral	nature
0	crow	animal
0	curl	property
0	deck	place
0	den	place
0	dew	weather
0	dimple	body
0	dive	action
0	donkey	animal
0	doughnut	food
0	draft	concept
0	drain	object
0	drift	action
0	drone	object
0	drought	weather
0	dune	nature
0	eagle	animal
0	echo	sound
0	elbow	body
0	emerald	material
0	falcon	animal
0	fist	body
0	flare	object
0	fleet	object
0	flick	action
0	font	object
0	fool	name
0	footprint	object
0	forge	place
0	gap	concept
0	gaze	action
0	goose	animal
0	gown	clothing
0	gram	quantity
0	graph	object
0	grid	object
0	grip	action
0	guard	job
0	gulp	sound
0	gut	body
0	halo	object
0	harp	tool
0	haste	manner
0	haven	place
0	hawk	animal
0	haze	weather
0	herb	food
0	herd	animal
0	hinge	object
0	hint	concept
0	hive	object
0	host	job
0	hover	action
0	hue	property
0	hull	object
0	iceberg	nature
0	icon	object
0	igloo	place
0	inch	quantity
0	indigo	property
0	inn	place
0	input	concept
0	ivory	material
0	jade	material
0	jail	place
0	jaw	body
0	jet	object
0	jewel	material
0	junk	object
0	kayak	object
0	kin	family
0	lagoon	nature
0	lance	tool
0	lane	place
0	latch	object
0	lawn	place
0	leak	action
0	leap	action
0	legend	concept
0	linen	material
0	link	object
0	lobby	place
0	loft	place
0	lounge	place
0	lunar	nature
0	madam	name
0	magma	nature
0	maker	job
0	male	concept
0	mansion	place
0	maple	plant
0	margin	object
0	marine	nature
0	mate	name
0	mercy	concept
0	merge	action
0	mesh	object
0	meteor	nature
0	meter	quantity
0	metro	object
0	mew	sound
0	mill	place
0	miracle	concept
0	mixer	tool
0	moat	object
0	mob	name
0	moor	nature
0	mute	property
0	naive	property
0	napkin	object
0	noble	property
0	node	object
0	noun	concept
0	nude	property
0	nudge	action
0	oak	plant
0	odor	body
0	omit	action
0	orbit	nature
0	organ	body
0	orphan	name
0	owl	animal
0	paddle	tool
0	panic	feeling
0	papa	family
0	parcel	object
0	patch	object
0	pause	action
0	peer	name
0	perfume	material
0	permit	concept
0	pillar	object
0	pine	plant
0	pioneer	name
0	pirate	concept
0	pixel	object
0	plaza	place
0	plot	concept
0	poet	job
0	poop	body
0	pope	religion
0	pork	food
0	port	place
0	prank	action
0	prey	animal
0	pride	feeling
0	pub	place
0	punch	action
0	pure	property
0	purse	object
0	quake	action
0	quest	concept
0	queue	concept
0	quiz	concept
0	quote	concept
0	raccoon	animal
0	raft	object
0	rage	feeling
0	rail	object
0	ranch	place
0	range	concept
0	rank	concept
0	rat	animal
0	rate	concept
0	ratio	concept
0	raven	animal
0	rear	place
0	rebel	name
0	rent	concept
0	rhyme	culture
0	rib	body
0	riddle	concept
0	risk	concept
0	ruby	material
0	ruin	concept
