hapax	likely_correct	correct_count
mutter	butter	494
batch	bath	492
beth	bath	492
oath	bath	492
steams	steam	489
braver	brave	488
behaviors	behavior	487
pakistani	pakistan	486
selections	selection	485
gmail	mail	482
maia	mail	482
shelly	shell	482
kate	date	472
tate	date	472
rally	really	471
hometowns	hometown	469
caye	cafe	468
argentine	argentina	467
mature	nature	465
yearly	early	458
fairs	fair	451
cots	cats	448
turner	turned	429
castile	castle	428
cokes	coke	425
staten	state	422
goodbyes	goodbye	421
lakers	lakes	419
bless	less	417
cairn	cairo	416
reich	rich	411
hydrogens	hydrogen	409
smokie	smoke	407
almosts	almost	404
botony	botany	404
fasten	faster	401
agong	along	399
folks	folk	397
hopper	copper	396
blocky	block	394
sprint	print	392
phobos	photos	378
platos	plato	378
watchers	watches	372
whines	shines	359
wight	eight	351
boxers	boxes	345
afloat	float	344
bronzes	bronze	337
spitting	sitting	334
nanna	anna	330
girth	birth	327
spire	spice	319
girlfriends	girlfriend	314
mainz	main	314
marin	main	314
bondi	bond	311
bonn	bond	311
constructions	construction	311
nits	bits	309
sango	sang	308
speedy	speed	304
stink	sink	302
boost	boot	301
wreath	breath	300
wooded	wooden	295
strands	stands	290
dangle	angle	288
galls	balls	283
react	reach	276
fines	fine	274
sine	fine	274
dusts	dust	271
porters	porter	265
troll	roll	263
partial	martial	262
auguste	august	260
soles	holes	258
glistens	listens	256
aaron	apron	253
staring	string	252
limp	lamp	248
poppy	puppy	247
chanted	changed	246
whine	wine	246
bert	beat	245
blown	blow	245
coding	coming	244
combing	coming	244
finale	final	243
cena	lena	241
vena	lena	241
forwards	forward	238
crimea	crime	235
prussia	russia	235
delay	decay	234
frills	fills	233
bastet	basket	229
bacterial	bacteria	228
forced	force	226
communist	communism	223
joked	joke	223
ducts	ducks	222
gato	gate	222
dorm	form	221
steve	stove	220
manger	anger	218
ranger	anger	218
threat	treat	216
byes	bees	213
clipped	clapped	211
trough	rough	211
physicals	physical	210
cooed	cooked	209
crooked	cooked	209
properly	property	209
mashing	washing	208
maas	maps	206
thrash	trash	200
sake	bake	198
hugo	huge	197
burin	burn	196
smocks	socks	190
emile	mile	188
reproductions	reproduction	186
minuses	minutes	185
rots	dots	184
mobs	jobs	183
robs	jobs	183
bien	been	178
revolutions	revolution	177
gentler	gentle	176
associations	association	175
qurans	quran	175
tugged	hugged	174
watts	waits	174
isla	islam	172
slaps	claps	172
swum	swam	172
demon	lemon	169
lemony	lemon	169
peeing	seeing	167
flos	flow	165
flown	flow	165
nasty	tasty	162
toasty	tasty	162
abuses	buses	161
bled	blew	159
fred	feed	157
thales	tales	155
interviews	interview	154
hedge	edge	149
ledge	edge	149
glee	glue	148
nino	nine	148
wiry	wire	148
backing	baking	147
economies	economics	146
courted	counted	145
costly	mostly	143
hush	bush	143
kush	bush	143
piled	pile	142
trolls	rolls	141
kora	korea	140
koreas	korea	140
filmed	filled	139
wooly	wool	139
forearm	firearm	137
buoys	boys	134
joys	boys	134
literary	literacy	131
bern	barn	129
cava	cave	128
valles	valley	127
begun	began	125
quantums	quantum	125
tunde	tune	122
checker	checked	121
crescents	crescent	121
hooke	hook	121
protestanism	protestantism	117
aids	adds	116
practised	practiced	115
whimper	whisper	114
pains	pain	113
clicky	click	112
rational	national	110
dangers	danger	109
adventurer	adventure	108
remotes	remote	108
nearing	hearing	107
tearing	hearing	107
ziggy	piggy	107
dyed	died	105
palma	palm	105
panties	parties	105
shouty	shout	105
swelling	selling	105
bing	bang	100
bong	bang	100
librarians	librarian	100
crawly	crawl	99
subset	sunset	99
grub	grab	98
scalp	scale	98
talc	tale	97
forte	fort	96
taped	tape	96
tangles	angles	95
horny	horn	94
rockers	rockets	94
thorn	horn	94
spore	sore	93
gambled	gamble	92
georges	george	92
thunders	thunder	92
messes	misses	91
petl	peel	91
grainy	grain	89
cuter	cute	88
mici	mice	86
ching	chin	85
leeds	feeds	84
woda	soda	83
yoda	soda	83
zeroes	heroes	82
smelt	melt	81
crusts	crust	80
incan	inca	79
ripen	ripe	79
towards	toward	79
fars	bars	78
marrying	carrying	78
breezes	breeze	77
dorms	forms	77
playtimes	playtime	77
stump	stamp	77
worthy	worth	77
pourer	poured	75
coco	cocoa	74
conch	coach	74
walts	walt	74
alberta	albert	73
alberts	albert	73
chong	hong	73
elbert	albert	73
guido	guide	73
hongi	hong	73
limps	lips	73
pong	hong	73
hiring	hiding	72
truths	truth	72
billy	bill	71
dill	bill	71
naked	baked	71
wolfs	wolf	71
wolof	wolf	71
grove	drove	70
reds	beds	68
shacks	sharks	67
stale	sale	67
beasts	beats	66
boxed	bored	66
pita	gita	66
braces	races	65
cuddles	puddles	65
fortifications	fortification	65
racers	races	65
tamils	tails	65
formal	normal	64
gangs	gang	64
norman	normal	64
aquarius	aquarium	63
cleanly	clearly	63
kongo	kong	62
malu	male	62
mites	bites	62
canis	cans	61
clans	cans	61
indy	windy	61
mans	cans	61
cores	core	60
favourites	favourite	60
ripped	dipped	60
timed	tied	60
tore	core	60
bitten	bitter	59
explosives	explosive	59
plush	plus	59
pried	cried	58
villagers	villages	58
chanting	changing	57
clanging	changing	57
heights	height	57
liar	liam	57
lighten	lighter	57
lighters	lighter	57
balances	balance	56
spires	spices	56
borrows	borrow	54
shrimps	shrimp	54
jams	dams	52
sams	dams	52
sneezy	sneeze	52
gushing	pushing	51
lowers	lower	51
journeys	journey	50
lender	gender	50
scarce	scare	50
barbers	barber	49
evenks	events	48
zapped	tapped	48
pounded	sounded	47
roaches	reaches	47
cheeps	cheeks	46
gunk	guns	46
nuns	guns	46
owing	wing	46
leah	lead	45
manes	mane	45
tigre	tire	45
wrists	wrist	45
arthopods	arthropods	44
diets	dies	44
nesting	resting	44
romansh	romans	44
standards	standard	44
stinks	sinks	44
tsars	tears	44
gunner	runner	43
kilo	kill	43
romp	ramp	43
scone	cone	43
chatter	chapter	42
coolers	cooler	42
dummy	mummy	41
gummy	mummy	41
lifter	lifted	41
penis	pens	41
penn	pens	41
welds	weeds	41
manama	panama	40
stylus	styles	40
cheats	heats	39
jockey	hockey	39
persians	persian	39
plowed	glowed	39
rojin	robin	39
thursdays	thursday	39
anders	andes	38
hatching	catching	38
koreans	korean	38
worst	worse	38
eclipses	eclipse	37
plowing	blowing	37
rusts	rust	37
vertebrae	vertebrate	37
mending	ending	36
plump	lump	36
shamans	shaman	36
slump	lump	36
souls	soul	36
alleys	alloys	35
discussions	discussion	35
frail	rail	35
genres	genes	35
jerry	berry	35
nata	data	35
ovals	oval	35
perry	berry	35
pinel	pine	35
sadly	badly	35
soaking	shaking	35
wandered	wondered	35
wattle	battle	35
welding	wedding	35
harker	darker	34
hobbes	hobbies	34
hobbits	hobbies	34
nock	dock	34
ottomans	ottoman	34
spirals	spiral	34
teide	tide	34
vent	bent	34
whoop	hoop	34
momo	moms	33
rima	lima	33
stumps	stamps	33
susan	sudan	33
twista	twist	33
famines	famine	32
kael	karl	32
kansa	mansa	32
mansaf	mansa	32
phoenician	phoenicia	32
sensing	sending	32
slav	slave	32
stripy	strip	32
underlines	underline	32
adios	radios	31
chiles	chile	31
chimp	chip	31
chunnel	channel	31
cria	crib	31
cribs	crib	31
crossings	crossing	31
fare	bare	31
flashlights	flashlight	31
intestines	intestine	31
itches	inches	31
lama	lamb	31
limb	lamb	31
mare	bare	31
pusa	musa	31
spies	pies	31
czechs	czech	30
gaggle	giggle	30
hutch	dutch	30
jiggle	giggle	30
neater	heater	30
panes	pans	30
prez	prey	30
abel	label	29
chirpy	chirp	29
clinks	clink	29
linh	lina	29
parting	parking	29
travelled	traveled	29
tutan	titan	29
voters	votes	29
benny	bendy	28
clacks	clicks	28
dino	ding	28
mows	bows	28
qing	ding	28
ying	ding	28
zing	ding	28
jude	jade	27
mesopotamian	mesopotamia	27
plucks	pluck	27
rims	ribs	27
rumbled	rumble	27
slams	clams	27
trance	trace	27
wade	jade	27
zhuang	huang	27
clippers	flippers	26
halti	haiti	26
jails	jail	26
jamaican	jamaica	26
kriol	krill	26
listed	lasted	26
nebulas	nebula	26
neeps	beeps	26
nipples	ripples	26
peeps	beeps	26
playhouses	playhouse	26
santas	santa	26
shona	shone	26
babbage	cabbage	25
beas	bead	25
buddhas	buddha	25
discovers	discover	25
divine	divide	25
gaining	raining	25
jiggly	wiggly	25
poker	poke	25
slinky	stinky	25
toasters	toaster	25
batters	batter	24
bram	beam	24
bruised	bruise	24
cruise	bruise	24
feeders	feelers	24
further	farther	24
hatter	batter	24
newtons	newton	24
patter	batter	24
pints	pins	24
tamu	tame	24
blinds	blind	23
brides	bride	23
bridle	bride	23
chai	chad	23
cuckoos	cuckoo	23
grit	grid	23
instruction	instructions	23
laying	lying	23
luthier	luther	23
organizations	organization	23
skated	skate	23
sniffled	sniffed	23
tighter	fighter	23
workshops	workshop	23
bengalis	bengali	22
captains	captain	22
galilee	galilei	22
soars	oars	22
syrian	syria	22
weaver	weave	22
arepas	areas	21
batswana	botswana	21
doubled	double	21
drake	rake	21
engels	angels	21
frosty	frost	21
gathers	gather	21
landscapes	landscape	21
moods	mood	21
pals	pads	21
shocks	shock	21
trac	tram	21
whiteboards	whiteboard	21
antler	antlers	20
asexual	sexual	20
creep	creek	20
drained	rained	20
explosions	explosion	20
flushes	flashes	20
grips	grip	20
headaches	headache	20
inhalers	inhaler	20
learners	learner	20
listing	lifting	20
pout	poet	20
rotors	motors	20
ruined	rained	20
scurvy	curvy	20
strangest	strongest	20
torc	torn	20
angora	angola	19
archers	arches	19
chidi	chili	19
chilli	chili	19
docked	locked	19
eider	cider	19
herding	herring	19
javan	java	19
kava	java	19
larches	arches	19
platforms	platform	19
practising	practicing	19
saber	safer	19
sparky	spark	19
thou	thor	19
trike	tribe	19
wafer	safer	19
carlo	carl	18
clank	clan	18
clucks	cluck	18
clucky	cluck	18
ctrl	carl	18
displays	display	18
experiences	experience	18
hooting	shooting	18
parliaments	parliament	18
prawn	drawn	18
prunes	runes	18
staple	stable	18
tint	hint	18
wale	kale	18
binocular	binoculars	17
brayed	prayed	17
dividend	divided	17
ganesh	ganesha	17
gummies	mummies	17
holts	bolts	17
postmen	postman	17
quit	quiz	17
roosters	rooster	17
spruces	spruce	17
tangly	tangy	17
tipping	tapping	17
trot	trout	17
twangy	tangy	17
allahu	allah	16
fling	sling	16
gobbled	wobbled	16
himalaya	himalayas	16
himalayan	himalayas	16
ludo	judo	16
neighs	weighs	16
patents	patent	16
reflections	reflection	16
sawyer	lawyer	16
slab	scab	16
slicing	sliding	16
starter	smarter	16
strengths	strength	16
stung	sung	16
twitch	witch	16
wallah	allah	16
argo	cargo	15
canon	canoe	15
cues	cubs	15
emirate	emirates	15
femur	lemur	15
fooled	cooled	15
gasp	wasp	15
hawa	hawk	15
jolly	jelly	15
jung	dung	15
keller	killer	15
mellon	melon	15
momentums	momentum	15
parted	parked	15
premises	promises	15
scuttle	shuttle	15
settling	setting	15
somalis	somalia	15
spleens	spleen	15
sprinter	printer	15
starchy	starch	15
tunisian	tunisia	15
viol	viola	15
altars	altar	14
arcades	arcade	14
armenian	armenia	14
camellias	camellia	14
canel	cane	14
chants	chant	14
dane	cane	14
denser	denver	14
greenhouses	greenhouse	14
growly	growl	14
katanas	katana	14
kyoga	yoga	14
managed	manage	14
manages	manage	14
oscar	scar	14
passengers	passenger	14
prune	pune	14
riya	rica	14
rodin	odin	14
screwdrivers	screwdriver	14
sonars	sonar	14
terms	term	14
tuataras	tuatara	14
vegas	vega	14
zante	dante	14
baji	bali	13
cali	bali	13
contents	contests	13
dali	bali	13
dashed	mashed	13
droughts	drought	13
earp	carp	13
flicking	clicking	13
gardenias	gardenia	13
hovercrafts	hovercraft	13
minotaurs	minotaur	13
misha	aisha	13
mollusks	molluscs	13
pali	bali	13
poodle	noodle	13
reminder	reminded	13
sardinian	sardinia	13
sighed	signed	13
simba	samba	13
snuck	suck	13
stitched	stitches	13
tagus	tags	13
tierra	sierra	13
yuccas	yucca	13
aardvarks	aardvark	12
adhesives	adhesive	12
antonie	antonio	12
ballrooms	ballroom	12
budapestr	budapest	12
bueno	buenos	12
burkinab	burkina	12
carlton	carton	12
commence	commerce	12
content	contest	12
controlled	controller	12
crushes	rushes	12
decaf	deaf	12
dishwashers	dishwasher	12
estonian	estonia	12
fading	facing	12
forearms	firearms	12
funnies	bunnies	12
gulps	gulp	12
hamburgs	hamburg	12
hanzi	hanoi	12
hires	aires	12
hulk	hull	12
hulls	hull	12
hurling	curling	12
inge	hinge	12
lari	lard	12
laylat	layla	12
litres	litre	12
logan	loan	12
macos	tacos	12
mailing	railing	12
margarines	margarine	12
mime	dime	12
murals	mural	12
nana	naja	12
ozone	zone	12
parton	carton	12
peacocks	peacock	12
phobias	phobia	12
physicians	physician	12
rila	gila	12
shilling	spilling	12
slosh	sloth	12
soils	oils	12
surname	suriname	12
swishes	wishes	12
trailing	railing	12
vila	gila	12
violent	violet	12
wobbles	wobble	12
asean	asian	11
babar	baba	11
baja	baba	11
basins	basin	11
broiled	boiled	11
castries	pastries	11
coiled	boiled	11
coops	coop	11
decimals	decimal	11
forged	forge	11
gorge	forge	11
illusions	illusion	11
javelins	javelin	11
jorge	forge	11
kindergartens	kindergarten	11
memes	meme	11
paused	pause	11
pauses	pause	11
pausing	passing	11
pawn	dawn	11
peeped	beeped	11
pitch	itch	11
polio	polo	11
psalms	palms	11
pucks	puck	11
rinks	rink	11
rodeos	rodeo	11
sacs	saws	11
tarns	barns	11
taxed	tamed	11
theists	atheists	11
treatments	treatment	11
udder	adder	11
wail	hail	11
wasting	fasting	11
accordions	accordion	10
aerosols	aerosol	10
ballistae	ballista	10
bandeng	bandung	10
barrels	barrel	10
beakers	bakers	10
breakers	breaker	10
buckled	buckle	10
chops	chop	10
clash	cash	10
concepts	concept	10
confuse	confused	10
confuses	confused	10
doggy	foggy	10
domino	domingo	10
feared	eared	10
fearless	earless	10
fizzles	fizzes	10
frigatebirds	frigatebird	10
grin	gain	10
halley	galley	10
handballs	handball	10
hates	hate	10
iblis	ibis	10
kernel	kernels	10
khali	kali	10
labradors	labrador	10
lapping	rapping	10
leaking	leaning	10
legislatures	legislature	10
leviathans	leviathan	10
logarithms	logarithm	10
mandolins	mandolin	10
owed	bowed	10
peeking	pecking	10
peeping	beeping	10
piring	tiring	10
pounce	ounce	10
prophets	prophet	10
puckers	pucker	10
ripping	rapping	10
sapa	papa	10
tenses	tense	10
timing	tiring	10
trapping	rapping	10
tunic	tunis	10
tunics	tunis	10
visions	vision	10
adaptations	adaptation	9
antiguan	antigua	9
arcs	abcs	9
argued	argue	9
binding	bending	9
brays	bays	9
breaching	reaching	9
buzzers	buzzes	9
cayman	caiman	9
curving	carving	9
detectives	detective	9
dialects	dialect	9
djembes	djembe	9
exchanges	exchange	9
federations	federation	9
flamingoes	flamingos	9
floodplains	floodplain	9
forgives	forgive	9
garam	gram	9
generals	general	9
gibson	gibbon	9
glob	blob	9
gross	ross	9
henri	henry	9
islets	isles	9
joan	jean	9
kitty	kitts	9
nonfiction	non-fiction	9
ovenbirds	ovenbird	9
parano	paran	9
performer	performed	9
pilgrimages	pilgrimage	9
possums	opossums	9
pram	gram	9
pranks	prank	9
quolls	quills	9
recordings	recording	9
serum	strum	9
sextants	sextant	9
shins	shin	9
skank	sank	9
soar	boar	9
stride	strike	9
strikes	strike	9
swaps	swap	9
users	user	9
usher	user	9
abba	ababa	8
aten	aden	8
australians	australian	8
bikini	biking	8
blacksmiths	blacksmith	8
boating	beating	8
brief	grief	8
brisk	risk	8
bros	bras	8
charms	charm	8
cheeping	cheering	8
clark	lark	8
cookers	cooker	8
copier	copied	8
covid	bovid	8
criminals	criminal	8
dassies	daisies	8
droppings	dropping	8
eden	aden	8
flipper	flipped	8
fractures	fracture	8
gaga	saga	8
greetings	greeting	8
grouped	grouper	8
haikus	haiku	8
hoover	hover	8
interfaces	interface	8
minimalist	minimalism	8
mortgages	mortgage	8
nephews	nephew	8
nerve	serve	8
nudged	nudge	8
paddies	paddles	8
plov	plot	8
raps	caps	8
rden	aden	8
remus	emus	8
repel	rebel	8
riches	richer	8
rotte	rotten	8
saloon	salon	8
shah	shan	8
siberian	iberian	8
suds	buds	8
thorny	thorns	8
tightens	tighten	8
turbans	turban	8
warnings	warning	8
whiskey	whisker	8
wilted	tilted	8
zaps	caps	8
akal	aral	7
attaches	attached	7
attacked	attached	7
blackboards	blackboard	7
blessings	blessing	7
blossom	blossoms	7
borges	barges	7
budgerigars	budgerigar	7
burping	bumping	7
capsicums	capsicum	7
carpathians	carpathian	7
clovers	clover	7
crumbles	rumbles	7
deng	dent	7
expressionist	expressionism	7
founder	rounder	7
glitters	glitter	7
gloss	loss	7
gracie	grace	7
grease	greasy	7
hagta	hagia	7
hazy	haze	7
inulin	insulin	7
legos	lego	7
leto	lego	7
ligo	lego	7
litters	liters	7
mariner	marine	7
miro	milo	7
moult	mould	7
percentages	percentage	7
percy	mercy	7
railways	railway	7
robbers	robber	7
roping	hoping	7
saucier	saucer	7
scribble	scrabble	7
servers	server	7
simmer	dimmer	7
skateboards	skateboard	7
smudged	smudge	7
suffer	puffer	7
sunbeams	sunbeam	7
syphons	syphon	7
tibetans	tibetan	7
toothaches	toothache	7
trailed	trained	7
veggie	veggies	7
versions	version	7
vomit	omit	7
weavers	weaves	7
austen	austin	6
bruins	ruins	6
bunched	bunches	6
citizenships	citizenship	6
clutter	cutter	6
crests	crest	6
croaky	croak	6
cutters	cutter	6
dictators	dictator	6
fogs	bogs	6
gabs	gaps	6
gatherings	gathering	6
grimm	grimms	6
hanks	hans	6
heading	healing	6
helen	helens	6
huddles	hurdles	6
jellies	bellies	6
joeys	joey	6
justin	austin	6
lunches	bunches	6
madams	madam	6
mambo	jambo	6
mashes	ashes	6
meanders	meander	6
meaner	meander	6
microeconomics	macroeconomics	6
ministers	minister	6
oinked	linked	6
oinks	oink	6
outfits	outfit	6
pleasant	peasant	6
ponytails	ponytail	6
porches	pouches	6
puffin	muffin	6
quacks	quack	6
quark	quack	6
rashes	ashes	6
samples	sample	6
sealed	healed	6
sharm	harm	6
slovaks	slovak	6
snipped	sipped	6
spits	pits	6
suckers	sucker	6
textures	texture	6
tiptoe	tiptoes	6
tiptoed	tiptoes	6
toasting	tasting	6
tosh	rosh	6
tricking	ticking	6
tripping	dripping	6
tucking	ticking	6
vella	ella	6
victory	victor	6
wilt	tilt	6
aging	ageing	5
basics	basic	5
chima	chime	5
chimed	chime	5
chimes	chime	5
chunk	chunks	5
chunky	chunks	5
delivers	deliver	5
dissolves	dissolve	5
diverse	divers	5
echoey	echoed	5
eyebrow	eyebrows	5
flex	alex	5
gabriela	gabriel	5
grunt	grant	5
handled	handed	5
intersection	interjection	5
jingles	jingle	5
lapps	apps	5
maggot	maggots	5
messengers	messenger	5
minke	mike	5
moans	moas	5
mons	moas	5
mowing	mooing	5
obrigada	obrigado	5
ouchy	ouch	5
paperclips	paperclip	5
patched	hatched	5
peking	poking	5
photojournalist	photojournalism	5
poof	hoof	5
raided	raider	5
repairs	repair	5
rials	trials	5
rosy	cosy	5
samia	sami	5
samui	sami	5
sari	sami	5
screams	creams	5
secretarybirds	secretarybird	5
seventy	seventh	5
sighs	sigh	5
spmi	sami	5
squirms	squirts	5
sulu	lulu	5
thatched	hatched	5
togas	toga	5
turk	tuck	5
walkers	walker	5
wilts	tilts	5
wrestled	wrestler	5
