word	count	sentence
amundsen	1	The first people to reach the South Pole were from Norway, led by Roald Amundsen, in 1911.
amy's	1	I like to go to Amy's home after school.
anaconda	1	In the jungle, there are big snakes like the Green Anaconda.
anak	1	It is called Anak Krakatau, which means baby Krakatoa.
anansi	1	African traditional religions, stories about Anansi, and drumming are parts of African culture.
ananya	1	People have names, like 'Aarav' or 'Ananya'." Animals have names too, like "cat" or "dog." Your name is special to you.
anchises	1	His father was Anchises and his mother was a goddess.
anchorage	1	The biggest city is Anchorage, where many people live.
anders	1	A man named Anders Celsius made this scale a long time ago.
android	1	Examples are Windows, macOS, Android, and Linux.
andros	1	The biggest island is called Andros, and the capital city, Nassau, sits on another island.
anglo-saxons	1	People called Anglo-Saxons spoke it.
anh	1	When you learn Vietnamese, you call older people "anh" for big brother or "chị" for big sister, even if they are not your family.
anopheles	1	The mosquito that gives malaria is called Anopheles.
anticosti	1	It has islands like Prince Edward Island and Anticosti Island.
antiguan	1	The people speak English and a special way of talking called Antiguan Creole.
antoinette	1	The queen during the french revolution was Marie Antoinette.
antonie	1	A man named Antonie van Leeuwenhoek used a special tool called a microscope to see tiny living things.
antony	1	Julius Caesar, Augustus, and Mark Antony were all Roman leaders.
apache	1	In another story from the Apache people, a small man called the Creator made light and then made the Earth from a small brown ball.
apfelstrudel	1	Famous foods from Austria are Wiener Schnitzel and Apfelstrudel.
apo	1	The highest mountain is Mount Apo.
arachne	1	The word 'arachnid' comes from a story about a girl named Arachne who was turned into a spider.
ararat	1	Her favorite mountain is Mount Ararat.
argentine	1	One way is called Argentine tango, and it is very old.
argo	1	He was the leader of a big boat called the Argo.
argos	1	He was a hero who sailed on a big boat named the Argos.
arguing	1	A cold war is like arguing, and a hot war is like fighting.
ariel	1	The five biggest moons are Miranda, Ariel, Umbriel, Titania, and Oberon.
aristarchus	1	But a man named Aristarchus said the Sun is the center and the Earth goes around it.
armenian	1	People in Armenia speak Armenian and use a special alphabet.
arthur's	1	Some famous swords are make-believe, like King Arthur's sword Excalibur.
artist's	1	That artist's work looks very real.
arunachal	1	This place has seven states that are called the "seven sister states.Their names are Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, and Tripura.
aryans	1	Then, people called the Aryans came and wrote old teachings.
asante	1	She says "jambo" and "asante." That is beautiful.
asean	1	The countries in Southeast Asia are friends and work together in a group called ASEAN.
askar	1	A boy named Askar lives in Kazakhstan.
asphalt	1	Concrete and asphalt are both grey and used for roads.
assam	1	This place has seven states that are called the "seven sister states.Their names are Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, and Tripura.
assistants	1	Shop assistants work in the stores at the mall.
assyria	1	It was the main city of a strong kingdom called Assyria.
assyrian	1	The Achaemenid Empire, the Assyrian Empire, and the Babylonian Empire all had rich kings.
assyrians	1	A long time ago, it was the most important city for a group of people called the Assyrians.
astaire	1	The most famous ballroom dancers were Fred Astaire and Ginger Rogers, but they danced in movies.
atat	1	Then a man named Mustafa Kemal Atatürk changed the letters to the ones we use in English.
ataturk	1	If you go to Ankara, you can see the big Ataturk statue.
aten	1	For a short time, one pharaoh named Akhenaten said people should only worship one god, the sun disk Aten.
atlantic's	1	The Atlantic's waves are big.
attack's	1	A heart attack's signs can be pain in the chest.
attempt	1	Try is to attempt as run is to move fast.
august's	1	August's sun is very strong.
auguste	1	A man named Auguste Rodin made this statue a long time ago.
austen	1	Over time, writers like Charles Dickens and Jane Austen wrote stories that people still love.
australians	1	The first people to live there were called Aboriginal Australians and Torres Strait Islanders.
autistic	1	There is no medicine to make autism go away, and many autistic people do not want a cure.
autograph	1	Can we get her autograph?
auyantepui	1	The water falls from a very high mountain called Auyantepui.
ava's	1	Ava's old boyfriend sent her a letter.
avarua	1	The biggest island is called Rarotonga, and the main town there is Avarua.
avignon	1	Other cities are Nice, Avignon, and Aix-en-Provence.
aviv	1	Israel is a country, but Tel Aviv is a city.
avoided	1	Okay, we avoided the disaster.
awful	1	Terrible, bad, and awful are all words for something not good.
aya	1	A girl named Aya lives in Timbuktu.
aylar	1	A girl named Aylar lives in Turkmenistan.
ayodhya	1	Rama was a prince who lived in a place called Ayodhya.
ayora	1	About 30,000 people live on the islands, mostly in towns like Puerto Ayora.
ayubowan	1	Then you say 'Ayubowan' to greet someone.
azores	1	The country has islands in the ocean called the Azores and Madeira.
aztec's	1	The Aztec's home is made of mud bricks.
azul	1	Yes, I know 'azul' and 'verde' too.
ba	1	A long time ago, people called the Ba lived there.
babar	1	A child might see a picture book with French words, like a story about a little boy named Babar the elephant.
babbage	1	A long time ago, a man named Charles Babbage thought of the first computer, but he never built it.
babylonian	1	The Achaemenid Empire, the Assyrian Empire, and the Babylonian Empire all had rich kings.
back-to-school	1	September is a back-to-school month, like August in some places.
backspace	1	If you make a mistake, you can fix it with the backspace key.
backstroke	1	There are different ways to swim, like front crawl and backstroke.
bactrian	1	Many animals live in the Gobi Desert, like the Bactrian camel with two humps, the Gobi bear, and the snow leopard.
baden-powell	1	It started a long time ago, in 1907, by a man named Robert Baden-Powell.
bagel	1	You might see sesame seeds on top of a hamburger bun or a bagel.
bahasa	1	It is also called Bahasa Indonesia.
bai	1	A long time ago, a famous poet named Li Bai was born there.
baikonur	1	The Soyuz goes up on a big rocket and launches from a place called Baikonur in Kazakhstan.
baja	1	Other peninsulas are parts of countries, like Baja California in Mexico.
baji	1	Then, tie the chima skirt or baji pants.
balances	1	Most trains have two rails, but a monorail balances on one.
balboa	1	The country uses money called the balboa, but also uses US dollars.
balinese	1	The main language is Indonesian, but people also speak many other languages like Javanese and Balinese.
balkandjii	1	People who live near these mountains are called Balkandjii.
ballast	1	Small rocks called ballast are packed around the sleepers to keep the track steady.
ballcourt	1	The Great Ballcourt is a huge field where people played ball games long ago.
ballistae	1	Some ballistae were small and shot arrows or darts.
balsamic	1	There are many kinds of vinegar, such as balsamic, red wine, and apple cider vinegar.
baltistan	1	Polo was first played a long time ago in a place called Baltistan.
bamanakan	1	The main language is French, but many people speak Bamanakan.
bambi	1	The most famous make-believe deer is Bambi.
banana's	1	I like a banana's sweet smell.
band's	1	The band's songs are great for dancing.
band-aids	1	Many pharmacies also sell soap, band-aids, and things to keep you clean and pretty.
bandaid	1	Okay, I have a bandaid now.
bandeng	1	Some people call it bandeng, but in the Philippines it is called bangus.
bangalore	1	You can see a big statue of him in a city called Bangalore.
bangla	1	In Bangladesh, people speak Bangla, but in the UK, people speak English.
banjo	1	Some string instruments you pluck, like a banjo.
banjul	1	The capital city is Banjul.
bank's	1	This is the bank's big clock.
baptismal	1	The baptismal font in the catholic church holds cool water.
baptize	1	Some churches baptize babies, and some wait until the person is older.
barbarie	1	Near the end, a thin strip of sand called the Langue de Barbarie separates the river from the big ocean.
barbell	1	I have a small toy barbell at home.
barbers	1	There are two barbers in the shop.
barbie	1	They wanted to make a toy for boys, like how Barbie was a toy for girls.
barnacles	1	Crustaceans are animals that live in water, like crabs, lobsters, shrimp, and barnacles.
barograph	1	A barograph is a kind of barometer that draws a picture of the air pressure on paper.
barrels	1	People use lathes to make things like baseball bats, candlestick holders, and gun barrels.
baseball's	1	The baseball's stitches are red.
basics	1	My teacher says it is not hard to learn the basics.
basil's	1	It has many old and pretty buildings, like the colorful Saint Basil's Cathedral and the tall Kremlin walls.
basins	1	Long ago, people made stone basins to keep water for drinking.
basseterre	1	The capital city is Basseterre, on the bigger island called Saint Kitts.
bastet	1	The Egyptians believed in many gods and goddesses, like Ra the sun god and Bastet the cat goddess.
batavia	1	Long ago, it had different names, like Batavia.
batswana	1	People from Botswana are called Batswana.
batur	1	The two biggest volcanoes are Mount Agung and Mount Batur.
bawo	1	He says "Bawo ni" to her every morning.
bayern	1	It is famous for its soccer team, FC Bayern Munich, which wins many games.
bayeux	1	The famous Bayeux tapestry is not really a tapestry, but a decorated cloth made in England.
bbc	1	Some broadcasters are paid by the government, like the BBC in Britain.
bedouins	1	Long ago, people called Bedouins lived in the desert and kept these horses close, even inside their tents.
beechnuts	1	The nuts are called beechnuts, and some animals eat them.
beep-beep	1	People used it a long time ago with machines that went beep-beep.
beep-beep-beep	1	A beep can mean "look out" or "I am done." Sometimes a truck goes beep-beep-beep when it moves backward.
beep-boop	1	Sometimes it sounds like a robot singing or a funny beep-boop noise.
beetle's	1	A beetle's mouth has two hard parts that crush and cut food.
beholder	1	Some people think beauty is different for each person, like when someone says 'Beauty is in the eye of the beholder.' Others think there are rules for what is beautiful.
beignets	1	He eats warm beignets covered in white sugar for a treat.
belau	1	The people there sometimes call their country Belau.
belmopan	1	The capital city is Belmopan.
beluga	1	Many animals live there, like beluga whales, walruses, narwhals, seals, and polar bears.
ben-hur	1	Some movies have won many Oscars, like 'Titanic' and 'Ben-Hur'.
bengalis	1	People who live there are called Bengalis.
bennu	1	In 2025, scientists found special stuff on an asteroid called Bennu, including the building blocks of life.
benny	1	Some famous kickboxers are Benny Urquidez and Andrew Tate.
berdjansk	1	Some cities near the sea are Berdjansk and Jeisk.
berenstain	1	You might know some bears from stories, like Winnie the Pooh or the Berenstain Bears.
bern	1	The city of Bern is used like a capital.
bernard	1	Famous passes include the Khyber Pass and the Great St Bernard Pass.
berners-lee	1	It was made by a man named Tim Berners-Lee in 1989.
bert	1	It is a short name with two parts: Al and bert.
bessie	1	I love our cow Bessie very much.
beth	1	Many people with this name are called Liz, Beth, or Eliza for short.
beyonc	1	Many famous singers like Beyoncé and Usher sing rhythm and blues.
bhaji	1	People there eat tasty dishes like Pav Bhaji and Vada Pav.
bibimbap	1	Then, you can try Korean food like kimchi and bibimbap.
bie	1	A group called the BIE helps make sure the big shows are fair and fun.
bieber	1	Many singers sing pop music, like Taylor Swift or Justin Bieber.
bien	1	Her teacher smiled back and said "muy bien." Lily practiced saying "gracias" at lunchtime.
bile	1	It makes a green-yellow juice called bile.
billiards	1	Billiards is a game played on a table.
billy	1	Billy is a short name for William.
bimah	1	A bimah is a platform in a synagogue.
bindings	1	Bindings hold your boots on the board.
bing	1	Bing is a search engine like Google.
bingham	1	Hiram Bingham found the city in 1911.
binocular	1	One binocular is red and one is blue.
biodiesel	1	Biodiesel is fuel made from old oil.
biscotti	1	Biscotti is a sweet bread you eat.
bishops	1	Bishops are pieces in chess.
bislama	1	People in Vanuatu speak Bislama.
bitterns	1	Bitterns are brown birds.
blackie	1	The dog was named Blackie for his fur.
blackpink	1	BLACKPINK is a South Korean music group.
blacksmiths	1	Blacksmiths made things from metal.
bleach	1	Bleach is a cleaner for clothes.
bleacher	1	I saw a home run from the bleacher.
bled	1	You take a bus to Lake Bled.
bless	1	Her mom said, "Bless you!" and gave a tissue.
blessings	1	He leads prayers and gives blessings.
blindfold	1	A blindfold stops you from seeing.
blinds	1	Blinds cover a window to keep light out.
blistered	1	A burn can make your skin blistered.
blocking	1	The moon blocking the sun makes an eclipse.
blocky	1	Blocky lava makes piles of sharp rocks.
blossom	1	Japan has a cherry blossom festival.
blowhole	1	Whales breathe through a blowhole.
blown	1	First, find the blown fuse.
blt	1	A BLT is a sandwich with bacon, lettuce, and tomato.
blu-glow	1	I call it 'blu-glow'.
blubber	1	Blubber keeps seals warm in cold water.
blue-eyed	1	The blue-eyed cat is sleeping.
blue-ringed	1	The blue-ringed octopus can hurt people.
bluebird	1	I saw an eastern bluebird yesterday.
bluefin	1	Bluefin tuna is a very big fish.
bluish-gray	1	It is shiny and bluish-gray.
bluish-grey	1	Zinc is a metal that looks shiny and bluish-grey.
bluish-white	1	Silver is a shiny, soft metal that is bluish-white.
blunt	1	A porpoise has a blunt nose.
boating	1	People have fun swimming and boating.
boatman	1	A boatman drives the boat.
bobbing	1	Bobbing for apples is a game.
bobolink	1	The bobolink is a bird that lives there.
bobsleds	1	Bobsleds were made long ago in St.
bohai	1	The Bohai Sea is part of the Yellow Sea.
bohol	1	Bohol is one of the big islands.
bok	1	Bok globules are dark clouds in space.
bol	1	Simón Bolívar helped the country become free.
bolt-action	1	A bolt-action rifle has a handle to load bullets.
bon	1	Bon Jovi made power ballads.
bond's	1	This is the bond's cap.
bondi	1	Bondi Beach is a famous beach.
bone's	1	The bone's color is white.
bone-crunching	1	A bone-crunching sound is very loud.
bonfire	1	Hot smoke rises from the bonfire.
bong	1	The town clock makes a bong sound.
bonn	1	Bonn is a city on the Rhine River.
boo-boos	1	They fix boo-boos and keep people safe.
booklet	1	A small book is called a booklet.
bookseller	1	A person who works in a bookstore is a bookseller.
boom-boom-boom	1	Drums go boom-boom-boom in some music.
borges	1	Jorge Luis Borges was a famous writer.
borysthenes	1	The Greeks called it the Borysthenes.
bosporus	1	The Bosporus is a waterway in Istanbul.
botev	1	Botev peak is the highest in the Balkan Mountains.
boudhanath	1	Boudhanath is a big temple in Nepal.
brady	1	A man named Mathew Brady took war pictures.
bram	1	A man named Bram Stoker wrote the story.
braque	1	Two artists named Pablo Picasso and Georges Braque started Cubism.
bridal	1	It has three waterfalls: Horseshoe Falls, American Falls, and Bridal Veil Falls.
bridgetown	1	Its capital city is Bridgetown.
brikama	1	Many people live in the cities of Serekunda and Brikama.
brisingamen	1	She has a pretty necklace called Brisingamen.
broncos	1	They cheer for teams like the Broncos and the Nuggets.
bros	1	Some old games, like Super Mario Bros, are still loved today.
browns	1	People watch baseball with the Cleveland Indians, football with the Cleveland Browns, and basketball with the Cleveland Cavaliers.
brr-brr	1	You can hear a mechanic use a loud tool that goes brr-brr.
bruins	1	The Celtics play basketball, and the Bruins play hockey.
brunelleschi	1	Long ago, a man named Filippo Brunelleschi first showed how to do this.
brutus	1	Julius Caesar, Cicero, and Brutus are men from old Rome.
bryndzov	1	You eat a tasty dumpling called bryndzové halušky.
buckingham	1	London has famous places like Big Ben, the London Eye, and Buckingham Palace.
budapestr	1	For example, "from Budapest" becomes "Budapestről." Hungarian has 44 letters in its alphabet, more than the 26 letters in English.
buddha's	1	Theravada Buddhism, Mahayana Buddhism, and Vajrayana Buddhism follow the Buddha's teachings.
bug-eating	1	Most of these plants catch bugs, so they are called bug-eating plants.
bukhara	1	Bukhara and Samarkand are very old cities with pretty buildings.
buriganga	1	The city sits near a big river called the Buriganga.
burkinab	1	People from Burkina Faso are called Burkinabè.
burmese	1	Many people there speak a language called Burmese.
burnie	1	Tasmania has four cities: Hobart, Launceston, Devonport, and Burnie.
buster	1	In old movies, Charlie Chaplin, Buster Keaton, and Harold Lloyd are all funny men.
cachupa	1	A popular food is a stew called cachupa.
caesar's	1	Julius Caesar's army was very strong.
cairo's	1	Cairo's buildings are very tall.
calais	1	It connects Folkestone in England to Calais in France.
cali	1	Other big cities are Medellín, Cali, and Cartagena.
callisto's	1	The scientists were happy to see Callisto's craters.
calypso	1	He stays with a woman named Calypso for seven years.
cambodians	1	The people are called Cambodians or Khmer, and they speak Khmer.
canadiens	1	Ice hockey was invented in Montreal, and the city has its own team called the Montreal Canadiens.
canaria	1	There are seven big islands: La Palma, La Gomera, El Hierro, Tenerife, Gran Canaria, Lanzarote, and Fuerteventura.
canberra	1	The capital city is Canberra, and the biggest city is Sydney.
canel	1	Then, eat a sweet cake called a canelé.
cangdi	1	Long ago, people believed a god named Cangdi lived on the mountain.
canis	1	He taught me that "canis" means dog.
canon	1	Theravada Buddhists follow the Pali Canon, the earliest Buddhist texts.
cantaloupe	1	Cantaloupe is another kind of melon with orange inside.
canterbury	1	Later, a man named Geoffrey Chaucer wrote funny stories called The Canterbury Tales.
cantuta	1	The national flower is called the Cantuta.
capelin	1	Many fish live there, like cod and capelin.
capitan	1	Then, you look at the giant rock called El Capitan.
caracas	1	The capital city is Caracas.
caribs	1	Later, people named the sea after a group of people called the Caribs.
carlo	1	Monaco is famous for the Monte Carlo Casino and a big car race called the Monaco Grand Prix.
carlton	1	The city has a very tall building called the Carlton Centre and a very tall tower called the Hillbrow Tower.
carnac	1	There are many old stones standing up in the ground in a place called Carnac.
carnation	1	In 1974, a peaceful revolution called the Carnation Revolution changed the government.
carothers	1	It was invented a long time ago by a man named Wallace Carothers.
carpathians	1	Tall mountains called the Carpathians go through the middle of Romania.
carroll	1	The story was written by Lewis Carroll a long time ago.
carrot's	1	This is a carrot's green top.
cart's	1	The cart's wheel is squeaky.
cartagena	1	Other big cities are Medellín, Cali, and Cartagena.
cartoon's	1	This is the cartoon's happy song.
cartridges	1	Cassettes are small tape cartridges with two sides.
cartwright	1	A long time ago, a man named Edmund Cartwright made a loom that worked by itself.
cassatt	1	Other impressionist painters include Pierre-Auguste Renoir, Edgar Degas, and Mary Cassatt.
cassini-huygens	1	A spacecraft called Cassini-Huygens visited Titan and took pictures of its lakes.
castile	1	The word for Spanish in Spanish is "español." Spanish is also called Castilian because it came from a place called Castile.
castilian	1	The word for Spanish in Spanish is "español." Spanish is also called Castilian because it came from a place called Castile.
castillo	1	The most famous building there is a big pyramid called El Castillo.
castries	1	The capital city is Castries, where many people live.
castro	1	In 1959, a man named Fidel Castro led a revolution and took over the country.
cavaliers	1	People watch baseball with the Cleveland Indians, football with the Cleveland Browns, and basketball with the Cleveland Cavaliers.
caye	1	Belize has many islands, and the biggest one is called Ambergris Caye.
cayman	1	The Cayman Islands are often included too.
cayuga	1	These tribes were the Mohawk, Oneida, Onondaga, Cayuga, and Seneca.
cd's	1	I like this CD's music.
celia	1	Some famous salsa singers are Celia Cruz and Willie Colón.
cena	1	Some famous wrestlers are Hulk Hogan, The Rock, and John Cena.
cernunnos	1	They believed in many gods and goddesses, like Lugus and Cernunnos.
cetinje	1	The old capital is Cetinje.
ceylon	1	Sri Lanka was once called Ceylon.
chamorro	1	The native people are called Chamorro.
champollion	1	Then a big stone called the Rosetta Stone helped a man named Champollion figure out how to read them again.
chandragupta	1	A king named Chandragupta I bossed the Gupta Empire first.
charming	1	Yes, remember the prince's name is Charming.
chart's	1	The chart's paper is white.
chattahoochee	1	You can find it near a river called the Chattahoochee.
chaucer	1	Later, a man named Geoffrey Chaucer wrote funny stories called The Canterbury Tales.
checkup's	1	The checkup's main part is checking your heart and lungs.
cheerios	1	Some cereals are for kids, like Cheerios or Cocoa Puffs.
cheese's	1	The cheese's smell is strong.
chemical's	1	The chemical's color is yellow.
chennai	1	Delhi, Mumbai, and Chennai are cities in India.
chiang	1	Bangkok and Chiang Mai are places in Thailand.
chichewa	1	People there speak English and Chichewa.
chidi	1	A boy named Chidi lives in Nigeria.
chile's	1	Chile's national flower is the copihue, a red bell-shaped flower.
chimera	1	Together, they fought a scary monster called the Chimera.
ching	1	Yes, it has a book called the Tao Te Ching.
chip's	1	The chip's silicon is very clean.
chnum	1	Some old stories say that a god named Chnum made the first people on a potter's wheel.
chokusu	1	The highest mountain is called Jengish Chokusu.
chomolungma	1	They call it "Chomolungma," which means "mother of the earth.Some Sherpas help other people climb the mountain.
chong	1	Badminton player Lee Chong Wei and squash player Nicol David are famous athletes from Malaysia.
choseoneo	1	In South Korea, people call it "hangukmal" or "hangugeo." In North Korea, they call it "choseonmal" or "choseoneo.Koreans also call their language 'urimal,' which means 'our language.'" Korean has its own special alphabet called Hangul.
choseonmal	1	In South Korea, people call it "hangukmal" or "hangugeo." In North Korea, they call it "choseonmal" or "choseoneo.Koreans also call their language 'urimal,' which means 'our language.'" Korean has its own special alphabet called Hangul.
christchurch	1	First, you fly to a city called Christchurch.
chuck	1	Some famous rock and roll singers were Elvis Presley, Chuck Berry, and Little Richard.
churchill	1	Adolf Hitler and Winston Churchill were both men who led their nations during World War II.
cicero	1	Julius Caesar, Cicero, and Brutus are men from old Rome.
cinderella's	1	It fits Cinderella's foot.
clara	1	We are four friends: Anna, Ben, Clara, and me.
clarke	1	Clarke.
cleo	1	Cleo is a clever little fox who lives in the forest.
click-clack-ding	1	Tom loves to hear it go click-clack-ding.
clovers	1	Other people look for four-leaf clovers because they think these bring good luck.
clucky	1	Tom has a pet chicken named Clucky.
clutter	1	Mess and clutter are things that are not tidy.
coca-cola	1	A famous drink called Coca-Cola comes from there.
cock-a-doodle-doo	1	A farm rooster says cock-a-doodle-doo.
coding	1	Robotics, coding, and making a paper plane are all ways to make things move.
cohen	1	Rabbi Cohen lives in a small town with his family.
cohl	1	One of the first cartoon makers was Emile Cohl.
col	1	Some famous salsa singers are Celia Cruz and Willie Colón.
comore	1	The biggest island is Grande Comore.
complement	1	The complement is the things not in a set.
composite	1	Prime numbers and composite numbers are in the group of whole numbers greater than one.
coolers	1	Some small ones, called coolers, use ice instead.
copacabana	1	The city has many beaches, like Copacabana and Ipanema.
copycat	1	The judge may make the copycat pay money or go to jail.
cores	1	Waste, like apple cores and egg shells, is from food.
corinthians	1	Football is very popular, and there are big teams like Corinthians, Palmeiras, and São Paulo.
cornmeal	1	Maize is to cornmeal as apple is to juice.
cosimo	1	The building was first made as offices for the city, and that is why it is called Uffizi, which means "offices.Later, a duke named Cosimo put his family's best art inside.
cosine	1	A logarithm, a sine, and a cosine are all math things.
cotonou	1	The capital city is Porto-Novo, but the biggest city is Cotonou.
cottage	1	A small house is sometimes called a cottage.
cottonmouth	1	It is also called a cottonmouth snake because the inside of its mouth is white.
cougar	1	It is also called a cougar or mountain lion.
cougars	1	You can find guanacos, cougars, and foxes on the plains.
councils	1	Cities and towns also have groups like this, and they are called councils.
countdown	1	We make a cool countdown and the rocket goes up.
coupon	1	A card, a ticket, and a coupon are paper things you hold.
courgette	1	Some people call it courgette or baby marrow.
courthouse	1	The court is inside a special building called a courthouse.
covid	1	The most famous one is the kind that caused COVID-19.
cowbells	1	He walked on soft green grass and heard cowbells ring.
crankshaft	1	An engine has many parts like pistons and a crankshaft.
crawdad	1	Some people call it a crawfish or a crawdad.
crawly	1	For example, a caterpillar is long and crawly.
cria	1	A baby llama is called a cria.
crimea	1	The sea is divided by a piece of land called Crimea.
crocheting	1	They use knitting, crocheting, or weaving to make it.
crocodile's	1	Alligators look like crocodiles, but you can see a crocodile's big tooth when its mouth is closed.
cross-country	1	Cross-country skiing is when you ski on flat snow through forests or towns.
crossbones	1	He sails on a big boat with a black flag that has a skull and crossbones.
crossings	1	New roads mean more safe school crossings.
crosswords	1	Crosswords are in newspapers, magazines, and on the Internet.
crunching	1	The gravel made a crunching sound under his shoes.
crusts	1	It makes food taste good and helps make pie crusts flaky.
ctrl	1	Keyboards can have different numbers of rows, and some have special keys like Shift or Ctrl to do different things.
cu-ckoo	1	A cuckoo is a bird that makes a sound like "cu-ckoo." The male cuckoo sings this song.
cubbies	1	They have the same number of toys in their cubbies.
cuddly	1	A stuffed toy is a soft, cuddly friend.
culebra	1	The main island is big, and there are also smaller islands like Vieques and Culebra.
cupid	1	He had two baby boys named Romulus and Remus, and another son named Cupid.
curie's	1	This is Marie Curie's coat for work.
cut-and-cover	1	That is called cut-and-cover.
cutters	1	It grows all the time, so you need to cut it with small cutters.
cyril	1	Long ago, two men named Cyril and Methodius made an early version of this alphabet.
cze	1	You can say "Dzień dobry" for "Good morning" and "Cześć" for "Hi" or "Bye".
czechs	1	Some Slavs are called Russians, Poles, Ukrainians, Czechs, Slovaks, and many other names.
d'ivoire	1	It is next to Mali, Niger, Benin, Togo, Ghana, and Côte d'Ivoire.
d'ocha	1	In Cuba, it is sometimes called 'regla d'ocha,' which means 'the way of the spirits.'' Some people who follow this religion also go to a Catholic church.
dalai	1	The leader of the Buddhists in Tibet is called the Dalai Lama.
dali	1	Some famous dream artists were Salvador Dali and Joan Miro.
dangers	1	A big storm and a flood are dangers from nature.
dank	1	First, learn simple words like 'hallo' and 'dank je'.
danke	1	I learn German words: hallo and danke.
dansk	1	The people who live in Denmark call their language 'dansk'.
daphne	1	Apollo also loved a nymph named Daphne, but she turned into a laurel tree to get away from him.
dari	1	People in Afghanistan speak Dari and Pashto.
darius	1	Cyrus the Great, King Darius, and King Xerxes were old kings.
darjeeling	1	There are hills in the north called the Darjeeling Hills, and a big forest called the Sundarbans where tigers live.
darkest	1	It is the darkest color you can see.
darling	1	Many rivers join the Murray, like the Darling and the Murrumbidgee.
darwin's	1	Charles Darwin's ideas changed how we see the world.
dashain	1	The people celebrate festivals like Dashain and Tihar.
dayuni'si	1	In one story, a little bug named Dayuni'si brought up mud from deep water, and the mud grew and grew until it became the whole earth.
dc	1	Later, superheroes from Marvel and DC Comics became action figures.
debussy	1	In France, Claude Debussy made music that sounds like paintings, with blurry notes and pretty chords.
dededo	1	The capital city is Hagåtña, and the biggest city is Dededo.
degas	1	Other impressionist painters include Pierre-Auguste Renoir, Edgar Degas, and Mary Cassatt.
deimos	1	Mars has two tiny moons named Phobos and Deimos.
delaware	1	The city is near a big river called the Delaware River.
delos	1	Apollo was born on a small island called Delos.
dendera	1	Her temple is in Dendera, Egypt.
deng	1	A boy named Deng lives in South Sudan.
destroys	1	Shiva is known as the destroyer, but he destroys bad things to make the world better.
dettah	1	In winter, people drive on ice to go to Dettah.
deuteronomy	1	These books are called Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.
devonport	1	Tasmania has four cities: Hobart, Launceston, Devonport, and Burnie.
dholavira	1	Mohenjo-daro, Harappa, and Dholavira are old cities.
di-pertuan	1	The king is called the Yang di-Pertuan Agong.
diktys	1	A kind man named Diktys took care of them.
diomede	1	There are two small islands called the Diomede Islands.
