word	count	sentence	rewritten
archaeon	1	A eukaryote, a bacterium, and an archaeon are all living things.	A tiny living thing, a germ, and another tiny living thing are all living things.
archivist	1	A person who takes care of old papers is called an archivist.	A person who takes care of old papers is called a paper keeper.
archivists	1	People called archivists take care of old papers.	People called paper keepers take care of old papers.
arctic's	1	This is the Arctic's snow.	This is the snow of the cold North.
argentine	1	One way is called Argentine tango, and it is very old.	
argo	1	He was the leader of a big boat called the Argo.	
argos	1	He was a hero who sailed on a big boat named the Argos.	
arguing	1	A cold war is like arguing, and a hot war is like fighting.	
ariel	1	The five biggest moons are Miranda, Ariel, Umbriel, Titania, and Oberon.	
aristarchus	1	But a man named Aristarchus said the Sun is the center and the Earth goes around it.	
armenian	1	People in Armenia speak Armenian and use a special alphabet.	
arthur's	1	Some famous swords are make-believe, like King Arthur's sword Excalibur.	
artist's	1	That artist's work looks very real.	
arunachal	1	This place has seven states that are called the "seven sister states.Their names are Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, and Tripura.	
aryans	1	Then, people called the Aryans came and wrote old teachings.	
asante	1	She says "jambo" and "asante." That is beautiful.	
asean	1	The countries in Southeast Asia are friends and work together in a group called ASEAN.	
askar	1	A boy named Askar lives in Kazakhstan.	
asphalt	1	Concrete and asphalt are both grey and used for roads.	
assam	1	This place has seven states that are called the "seven sister states.Their names are Arunachal Pradesh, Assam, Manipur, Meghalaya, Mizoram, Nagaland, and Tripura.	
assistants	1	Shop assistants work in the stores at the mall.	
assyria	1	It was the main city of a strong kingdom called Assyria.	
assyrian	1	The Achaemenid Empire, the Assyrian Empire, and the Babylonian Empire all had rich kings.	
assyrians	1	A long time ago, it was the most important city for a group of people called the Assyrians.	
astaire	1	The most famous ballroom dancers were Fred Astaire and Ginger Rogers, but they danced in movies.	
atat	1	Then a man named Mustafa Kemal Atatürk changed the letters to the ones we use in English.	
ataturk	1	If you go to Ankara, you can see the big Ataturk statue.	
aten	1	For a short time, one pharaoh named Akhenaten said people should only worship one god, the sun disk Aten.	
atlantic's	1	The Atlantic's waves are big.	
attack's	1	A heart attack's signs can be pain in the chest.	
attempt	1	Try is to attempt as run is to move fast.	
august's	1	August's sun is very strong.	
auguste	1	A man named Auguste Rodin made this statue a long time ago.	
austen	1	Over time, writers like Charles Dickens and Jane Austen wrote stories that people still love.	
australians	1	The first people to live there were called Aboriginal Australians and Torres Strait Islanders.	
autistic	1	There is no medicine to make autism go away, and many autistic people do not want a cure.	
autograph	1	Can we get her autograph?	
auyantepui	1	The water falls from a very high mountain called Auyantepui.	
ava's	1	Ava's old boyfriend sent her a letter.	
avarua	1	The biggest island is called Rarotonga, and the main town there is Avarua.	
avignon	1	Other cities are Nice, Avignon, and Aix-en-Provence.	
aviv	1	Israel is a country, but Tel Aviv is a city.	
avoided	1	Okay, we avoided the disaster.	
awful	1	Terrible, bad, and awful are all words for something not good.	
aya	1	A girl named Aya lives in Timbuktu.	
aylar	1	A girl named Aylar lives in Turkmenistan.	
ayodhya	1	Rama was a prince who lived in a place called Ayodhya.	
ayora	1	About 30,000 people live on the islands, mostly in towns like Puerto Ayora.	
ayubowan	1	Then you say 'Ayubowan' to greet someone.	
azores	1	The country has islands in the ocean called the Azores and Madeira.	
aztec's	1	The Aztec's home is made of mud bricks.	
azul	1	Yes, I know 'azul' and 'verde' too.	
ba	1	A long time ago, people called the Ba lived there.	
babar	1	A child might see a picture book with French words, like a story about a little boy named Babar the elephant.	
babbage	1	A long time ago, a man named Charles Babbage thought of the first computer, but he never built it.	
babylonian	1	The Achaemenid Empire, the Assyrian Empire, and the Babylonian Empire all had rich kings.	
back-to-school	1	September is a back-to-school month, like August in some places.	
backspace	1	If you make a mistake, you can fix it with the backspace key.	
backstroke	1	There are different ways to swim, like front crawl and backstroke.	
bactrian	1	Many animals live in the Gobi Desert, like the Bactrian camel with two humps, the Gobi bear, and the snow leopard.	
baden-powell	1	It started a long time ago, in 1907, by a man named Robert Baden-Powell.	
bagel	1	You might see sesame seeds on top of a hamburger bun or a bagel.	
bahasa	1	It is also called Bahasa Indonesia.	
bai	1	A long time ago, a famous poet named Li Bai was born there.	
baikonur	1	The Soyuz goes up on a big rocket and launches from a place called Baikonur in Kazakhstan.	
baja	1	Other peninsulas are parts of countries, like Baja California in Mexico.	
baji	1	Then, tie the chima skirt or baji pants.	
balances	1	Most trains have two rails, but a monorail balances on one.	
balboa	1	The country uses money called the balboa, but also uses US dollars.	
balinese	1	The main language is Indonesian, but people also speak many other languages like Javanese and Balinese.	
balkandjii	1	People who live near these mountains are called Balkandjii.	
ballast	1	Small rocks called ballast are packed around the sleepers to keep the track steady.	
ballcourt	1	The Great Ballcourt is a huge field where people played ball games long ago.	
ballistae	1	Some ballistae were small and shot arrows or darts.	
balsamic	1	There are many kinds of vinegar, such as balsamic, red wine, and apple cider vinegar.	
baltistan	1	Polo was first played a long time ago in a place called Baltistan.	
bamanakan	1	The main language is French, but many people speak Bamanakan.	
bambi	1	The most famous make-believe deer is Bambi.	
banana's	1	I like a banana's sweet smell.	
band's	1	The band's songs are great for dancing.	
band-aids	1	Many pharmacies also sell soap, band-aids, and things to keep you clean and pretty.	
bandaid	1	Okay, I have a bandaid now.	
bandeng	1	Some people call it bandeng, but in the Philippines it is called bangus.	
bangalore	1	You can see a big statue of him in a city called Bangalore.	
bangla	1	In Bangladesh, people speak Bangla, but in the UK, people speak English.	
banjo	1	Some string instruments you pluck, like a banjo.	
banjul	1	The capital city is Banjul.	
bank's	1	This is the bank's big clock.	
baptismal	1	The baptismal font in the catholic church holds cool water.	
baptize	1	Some churches baptize babies, and some wait until the person is older.	
barbarie	1	Near the end, a thin strip of sand called the Langue de Barbarie separates the river from the big ocean.	
barbell	1	I have a small toy barbell at home.	
barbers	1	There are two barbers in the shop.	
barbie	1	They wanted to make a toy for boys, like how Barbie was a toy for girls.	
barnacles	1	Crustaceans are animals that live in water, like crabs, lobsters, shrimp, and barnacles.	
barograph	1	A barograph is a kind of barometer that draws a picture of the air pressure on paper.	
barrels	1	People use lathes to make things like baseball bats, candlestick holders, and gun barrels.	
baseball's	1	The baseball's stitches are red.	
basics	1	My teacher says it is not hard to learn the basics.	
basil's	1	It has many old and pretty buildings, like the colorful Saint Basil's Cathedral and the tall Kremlin walls.	
basins	1	Long ago, people made stone basins to keep water for drinking.	
basseterre	1	The capital city is Basseterre, on the bigger island called Saint Kitts.	
bastet	1	The Egyptians believed in many gods and goddesses, like Ra the sun god and Bastet the cat goddess.	
batavia	1	Long ago, it had different names, like Batavia.	
batswana	1	People from Botswana are called Batswana.	
batur	1	The two biggest volcanoes are Mount Agung and Mount Batur.	
bawo	1	He says "Bawo ni" to her every morning.	
baybayin	1	Tagalog used to be written with a special alphabet called Baybayin, but now people write it with the same letters we use in English.	Tagalog used to be written with a special set of letters called Baybayin, but now people write it with the same letters we use in English.
bayern	1	It is famous for its soccer team, FC Bayern Munich, which wins many games.	
bayeux	1	The famous Bayeux tapestry is not really a tapestry, but a decorated cloth made in England.	
bbc	1	Some broadcasters are paid by the government, like the BBC in Britain.	
bc	1	The Ancient Greeks made the ballista around 400 BC.	The Ancient Greeks made the ballista a very long time ago.
bebop	1	There are many types of jazz, like New Orleans jazz, swing, and bebop.	There are many types of jazz, like New Orleans jazz, swing, and a fast kind called bebop.
bedouins	1	Long ago, people called Bedouins lived in the desert and kept these horses close, even inside their tents.	
beechnuts	1	The nuts are called beechnuts, and some animals eat them.	
beeeeh	1	The shoebill can make a high sound like "beeeeh."" It likes to live alone and keeps its nest away from other shoebills.	The shoebill can make a high sound like "beeeeh." It likes to live alone and keeps its nest away from other shoebills.
beep-beep	1	People used it a long time ago with machines that went beep-beep.	
beep-beep-beep	1	A beep can mean "look out" or "I am done." Sometimes a truck goes beep-beep-beep when it moves backward.	
beep-boop	1	Sometimes it sounds like a robot singing or a funny beep-boop noise.	
beetle's	1	A beetle's mouth has two hard parts that crush and cut food.	
beholder	1	Some people think beauty is different for each person, like when someone says 'Beauty is in the eye of the beholder.' Others think there are rules for what is beautiful.	
beignets	1	He eats warm beignets covered in white sugar for a treat.	
belau	1	The people there sometimes call their country Belau.	
belmopan	1	The capital city is Belmopan.	
beluga	1	Many animals live there, like beluga whales, walruses, narwhals, seals, and polar bears.	
ben-hur	1	Some movies have won many Oscars, like 'Titanic' and 'Ben-Hur'.	
bengalis	1	People who live there are called Bengalis.	
bennu	1	In 2025, scientists found special stuff on an asteroid called Bennu, including the building blocks of life.	
benny	1	Some famous kickboxers are Benny Urquidez and Andrew Tate.	
berdjansk	1	Some cities near the sea are Berdjansk and Jeisk.	
berenstain	1	You might know some bears from stories, like Winnie the Pooh or the Berenstain Bears.	
bern	1	The city of Bern is used like a capital.	
bernard	1	Famous passes include the Khyber Pass and the Great St Bernard Pass.	
berners-lee	1	It was made by a man named Tim Berners-Lee in 1989.	
bert	1	It is a short name with two parts: Al and bert.	
bessie	1	I love our cow Bessie very much.	
beta	1	I am writing beta.	I am writing the word beta.
beth	1	Many people with this name are called Liz, Beth, or Eliza for short.	
betrothed	1	Dante Alighieri wrote a long poem called The Divine Comedy." Another important writer is Alessandro Manzoni, who wrote a story called "The Betrothed." Many Italian writers have won a big prize called the Nobel Prize for their stories and poems.	Dante Alighieri wrote a long poem called The Divine Comedy. Another important writer is Alessandro Manzoni, who wrote a story called "The Betrothed." Many Italian writers have won a big prize called the Nobel Prize for their stories and poems.
beyonc	1	Many famous singers like Beyoncé and Usher sing rhythm and blues.	
bhaji	1	People there eat tasty dishes like Pav Bhaji and Vada Pav.	
bibimbap	1	Then, you can try Korean food like kimchi and bibimbap.	
bie	1	A group called the BIE helps make sure the big shows are fair and fun.	
bieber	1	Many singers sing pop music, like Taylor Swift or Justin Bieber.	
bien	1	Her teacher smiled back and said "muy bien." Lily practiced saying "gracias" at lunchtime.	
bile	1	It makes a green-yellow juice called bile.	
billiards	1	Billiards is a game played on a table.	
billy	1	Billy is a short name for William.	
bimah	1	A bimah is a platform in a synagogue.	
bindings	1	Bindings hold your boots on the board.	
bing	1	Bing is a search engine like Google.	
bingham	1	Hiram Bingham found the city in 1911.	
binocular	1	One binocular is red and one is blue.	
biodiesel	1	Biodiesel is fuel made from old oil.	
biscotti	1	Biscotti is a sweet bread you eat.	
bishops	1	Bishops are pieces in chess.	
bislama	1	People in Vanuatu speak Bislama.	
bitterns	1	Bitterns are brown birds.	
blackie	1	The dog was named Blackie for his fur.	
blackpink	1	BLACKPINK is a South Korean music group.	
blacksmiths	1	Blacksmiths made things from metal.	
bleach	1	Bleach is a cleaner for clothes.	
bleacher	1	I saw a home run from the bleacher.	
bled	1	You take a bus to Lake Bled.	
bless	1	Her mom said, "Bless you!" and gave a tissue.	
blessings	1	He leads prayers and gives blessings.	
blindfold	1	A blindfold stops you from seeing.	
blinds	1	Blinds cover a window to keep light out.	
blistered	1	A burn can make your skin blistered.	
blocking	1	The moon blocking the sun makes an eclipse.	
blocky	1	Blocky lava makes piles of sharp rocks.	
blossom	1	Japan has a cherry blossom festival.	
blowhole	1	Whales breathe through a blowhole.	
blown	1	First, find the blown fuse.	
blt	1	A BLT is a sandwich with bacon, lettuce, and tomato.	
blu-glow	1	I call it 'blu-glow'.	
blubber	1	Blubber keeps seals warm in cold water.	
blue-eyed	1	The blue-eyed cat is sleeping.	
blue-ringed	1	The blue-ringed octopus can hurt people.	
bluebird	1	I saw an eastern bluebird yesterday.	
bluefin	1	Bluefin tuna is a very big fish.	
bluish-gray	1	It is shiny and bluish-gray.	
bluish-grey	1	Zinc is a metal that looks shiny and bluish-grey.	
bluish-white	1	Silver is a shiny, soft metal that is bluish-white.	
blunt	1	A porpoise has a blunt nose.	
boating	1	People have fun swimming and boating.	
boatman	1	A boatman drives the boat.	
bobbing	1	Bobbing for apples is a game.	
bobolink	1	The bobolink is a bird that lives there.	
bobsleds	1	Bobsleds were made long ago in St.	
bohai	1	The Bohai Sea is part of the Yellow Sea.	
bohol	1	Bohol is one of the big islands.	
bok	1	Bok globules are dark clouds in space.	
bol	1	Simón Bolívar helped the country become free.	
bolt-action	1	A bolt-action rifle has a handle to load bullets.	
bon	1	Bon Jovi made power ballads.	
bond's	1	This is the bond's cap.	
bondi	1	Bondi Beach is a famous beach.	
bone's	1	The bone's color is white.	
bone-crunching	1	A bone-crunching sound is very loud.	
bonfire	1	Hot smoke rises from the bonfire.	
bong	1	The town clock makes a bong sound.	
bonn	1	Bonn is a city on the Rhine River.	
boo-boos	1	They fix boo-boos and keep people safe.	
booklet	1	A small book is called a booklet.	
bookseller	1	A person who works in a bookstore is a bookseller.	
boom-boom-boom	1	Drums go boom-boom-boom in some music.	
boom-like	1	The drum sounded deep and boom-like.	The drum sounded deep and loud like a boom.
boom-stick	1	Dynamite is a strong boom-stick that people use to break big rocks.	Dynamite is a strong stick that goes boom. People use it to break big rocks.
boops	1	Music now has more beeps and boops.	Music now has more beeps and funny sounds.
boost	1	Saying 'I did it!' gives your self-esteem a boost.	Saying 'I did it!' makes you feel good about yourself.
boosters	1	The space shuttle had rocket boosters.	The space shuttle had big rocket helpers.
borderland	1	Ukraine means 'borderland'.Long ago, a powerful state called Kyivan Rus was in this land.	Ukraine means 'land at the edge'. Long ago, a strong place called Kyivan Rus was there.
borer	1	If an ash tree gets a bug called the emerald ash borer, it can get sick.	If an ash tree gets a bug called the green ash bug, it can get sick.
borges	1	Jorge Luis Borges was a famous writer.	
borrowing	1	Interest is a fee for borrowing money.	Interest is a fee for using someone else's money.
borrows	1	A credit card borrows money.	A credit card lets you use money you will pay back later.
borscht	1	Borscht is a soup they eat.	Borscht is a red soup they eat.
borysthenes	1	The Greeks called it the Borysthenes.	
bosporus	1	The Bosporus is a waterway in Istanbul.	
bot	1	Bot is a little robot.	A bot is a tiny robot.
botev	1	Botev peak is the highest in the Balkan Mountains.	
bottle's	1	The bottle's volume is one liter.	The bottle holds one liter.
boudhanath	1	Boudhanath is a big temple in Nepal.	
boulder	1	A boulder is a big rock.	A boulder is a very big rock.
boundary	1	A boundary shows where one thing ends.	A line shows where one thing ends.
bowl-shaped	1	A basket is a bowl-shaped thing to carry.	A basket is a round thing to carry.
bowmen	1	Mongol empire bowmen shot arrows that flew far.	Mongol fighters with bows shot arrows that flew far.
box's	1	So you know the box's size.	So you know how big the box is.
braces	1	A doctor uses braces to fix teeth.	A doctor uses wires on teeth to fix them.
brady	1	A man named Mathew Brady took war pictures.	
brain's	1	Dreams are the brain's way of thinking about the day.	Dreams are how the brain thinks about the day.
bram	1	A man named Bram Stoker wrote the story.	
braque	1	Two artists named Pablo Picasso and Georges Braque started Cubism.	
bravery	1	Fear makes you small, but bravery makes you big.	Fear makes you small, but being brave makes you big.
bray	1	A donkey makes a loud, funny sound called a bray.	A donkey makes a loud, funny sound.
brazil's	1	Nigeria's flag is green and white, Brazil's flag is green and yellow.	Nigeria's flag is green and white. Brazil's flag is green and yellow.
bread's	1	The bread's outside is crunchy.	The outside of the bread is crunchy.
bridal	1	It has three waterfalls: Horseshoe Falls, American Falls, and Bridal Veil Falls.	
bridgetown	1	Its capital city is Bridgetown.	
brikama	1	Many people live in the cities of Serekunda and Brikama.	
brisingamen	1	She has a pretty necklace called Brisingamen.	
bronchitis	1	Pneumonia, bronchitis, and a chest infection are all lung problems.	Pneumonia, a chest cold, and a chest infection are all lung problems.
broncos	1	They cheer for teams like the Broncos and the Nuggets.	
bros	1	Some old games, like Super Mario Bros, are still loved today.	
brown-red	1	It was very old and had a brown-red color.	It was very old and had a red-brown color.
brownies	1	Cake, cookies, and brownies are all sweet baked treats.	Cake, cookies, and chocolate squares are all sweet baked treats.
browns	1	People watch baseball with the Cleveland Indians, football with the Cleveland Browns, and basketball with the Cleveland Cavaliers.	
brr-brr	1	You can hear a mechanic use a loud tool that goes brr-brr.	
bruins	1	The Celtics play basketball, and the Bruins play hockey.	
brunelleschi	1	Long ago, a man named Filippo Brunelleschi first showed how to do this.	
brutalism	1	In building, modernism and brutalism use hard concrete.	In building, some styles use hard concrete.
brutus	1	Julius Caesar, Cicero, and Brutus are men from old Rome.	
bryndzov	1	You eat a tasty dumpling called bryndzové halušky.	
bubblegum	1	At the dentist, I can taste the sweet bubblegum toothpaste.	At the dentist, I can taste the sweet pink toothpaste.
bucket's	1	The bucket's handle is broken.	The handle of the bucket is broken.
buckingham	1	London has famous places like Big Ben, the London Eye, and Buckingham Palace.	
budapestr	1	For example, "from Budapest" becomes "Budapestről." Hungarian has 44 letters in its alphabet, more than the 26 letters in English.	
buddha's	1	Theravada Buddhism, Mahayana Buddhism, and Vajrayana Buddhism follow the Buddha's teachings.	
buddhas	1	The Gupta Empire made calm stone Buddhas, but later armies made sharp swords.	The Gupta Empire made calm stone statues, but later armies made sharp swords.
budget	1	Finance, savings, and budget are all ways to handle money.	Saving, planning, and spending are all ways to handle money.
budgie	1	A budgie has a long tail and can be green, yellow, blue, or white.	A small bird has a long tail and can be green, yellow, blue, or white.
budgies	1	Budgies live in dry parts of Australia.	These small birds live in dry parts of Australia.
bug-eating	1	Most of these plants catch bugs, so they are called bug-eating plants.	
building's	1	My mom shows me the building's big door.	My mom shows me the big door of the building.
bukhara	1	Bukhara and Samarkand are very old cities with pretty buildings.	
bulb's	1	Then, touch the other wire to the bulb's bottom.	Then, touch the other wire to the bottom of the bulb.
bull's	1	It had a strong body and a bull's head.	It had a strong body and a head like a bull.
bulldozer	1	A tank is a big, strong vehicle that moves on tracks like a bulldozer.	A tank is a big, strong truck that moves on tracks like a pushing machine.
bulldozers	1	Later, they used machines like cranes and bulldozers to help.	Later, they used big machines like cranes and pushers to help.
bullheads	1	They eat fish like sunfish, perch, and bullheads.	They eat fish like sunfish, perch, and small catfish.
bunt	1	A homer scores runs, but a bunt moves a runner.	A big hit scores runs, but a soft tap moves a runner.
buriganga	1	The city sits near a big river called the Buriganga.	
burkinab	1	People from Burkina Faso are called Burkinabè.	
burmese	1	Many people there speak a language called Burmese.	
burnie	1	Tasmania has four cities: Hobart, Launceston, Devonport, and Burnie.	
burping	1	In many places, doing private things like burping or picking your nose in public is not polite.	In many places, doing private things like burping or picking your nose in public is not nice.
bush's	1	Then, pour the water around the bush's roots.	Then, pour the water around the roots of the bush.
buster	1	In old movies, Charlie Chaplin, Buster Keaton, and Harold Lloyd are all funny men.	
busy-body	1	A busy-body is a nosey person.	A busy-body is a person who pokes their nose into others' business.
butchers	1	Butchers and firefighters wear chain mail gloves to keep their hands safe.	Meat cutters and firefighters wear metal gloves to keep their hands safe.
butler	1	A butler was the most important man servant.	A butler was the most important man helper in a big house.
butlers	1	Long ago in big houses, there were many helpers like butlers, maids, and nannies.	Long ago in big houses, there were many helpers like head helpers, maids, and nannies.
buttermilk	1	Then, they drink cool buttermilk to stay cool.	Then, they drink cool sour milk to stay cool.
buttoned	1	I check again that the coat is buttoned.	I check again that the coat is closed.
buttonhole	1	You push it through a small hole called a buttonhole.	You push it through a small hole.
buttresses	1	The walls are held up by special supports called flying buttresses.	The walls are held up by special stone arms.
buyers	1	Capitalism and a lemonade stand both need buyers and sellers.	A money system and a lemonade stand both need people who buy and people who sell.
buzzers	1	Some shows test what you know, and some have spinning wheels or buzzers.	Some shows test what you know, and some have spinning wheels or loud buttons.
cachupa	1	A popular food is a stew called cachupa.	
cactuses	1	It shows cowboys, horses, and big open lands with sand and cactuses.	It shows cowboys, horses, and big open lands with sand and spiky plants.
cadmium	1	Cd is a short way to write the metal cadmium.	Cd is a short way to write a metal.
caesar's	1	Julius Caesar's army was very strong.	
cairo's	1	Cairo's buildings are very tall.	
cake-making	1	My mom's cake-making is the best.	My mom makes the best cakes.
calais	1	It connects Folkestone in England to Calais in France.	
calfskin	1	Morocco and calfskin are types of leather.	Morocco and soft cow skin are types of leather.
cali	1	Other big cities are Medellín, Cali, and Cartagena.	
call-and-answer	1	It often has clapping, call-and-answer singing, and a voice that sounds tight and full of feeling.	It often has clapping, singing where one person calls and others answer, and a voice that sounds tight and full of feeling.
caller	1	First, the caller says a number.	First, the person who calls says a number.
callisto's	1	The scientists were happy to see Callisto's craters.	
calmer	1	You can also feel calmer by taking deep breaths or doing quiet things like drawing.	You can also feel more calm by taking deep breaths or doing quiet things like drawing.
calorimeter	1	You can measure heat with a tool called a calorimeter.	You can measure heat with a special tool.
calypso	1	He stays with a woman named Calypso for seven years.	
cambodians	1	The people are called Cambodians or Khmer, and they speak Khmer.	
camellias	1	People also grow camellias in gardens because the flowers are beautiful.	People also grow pretty flowers in gardens because the flowers are beautiful.
campervan	1	They sleep in a tent, a campervan, or right under the sky when the weather is nice.	They sleep in a tent, a small home on wheels, or right under the sky when the weather is nice.
campsite	1	You can find it at a campsite, in a backyard, or on a beach.	You can find it at a place where people sleep outside, in a backyard, or on a beach.
campus	1	The campus looks exciting with many buildings.	The school area looks exciting with many buildings.
canadiens	1	Ice hockey was invented in Montreal, and the city has its own team called the Montreal Canadiens.	
canal's	1	The canal's water is green in summer.	The water in the man-made river is green in summer.
canaria	1	There are seven big islands: La Palma, La Gomera, El Hierro, Tenerife, Gran Canaria, Lanzarote, and Fuerteventura.	
canberra	1	The capital city is Canberra, and the biggest city is Sydney.	
candidates	1	First, everyone learns about the candidates.	First, everyone learns about the people who want the job.
